Station,Scenario,Model,Variable,CV,Bias,NRMSE,RMSE,CV Delta From Observed,Max. Value,Max. Value Delta From Observed,A-D p-value,K-S p-value,K-S statistic sign
Ketchikan,rcp85,5ModelAvg,pr_total_mm,2.47,38.7,0.2,164.2,0.59,680.0,203.9,0.0,0.0,1
Ketchikan,rcp85,5ModelAvg,tas_mean_C,1.66,-0.4,0.1,1.7,0.16,16.2,1.3,0.22,0.56,-1
Ketchikan,rcp45,GFDL-CM3,pr_total_mm,1.82,50.8,0.2,189.7,0.06,764.0,119.9,0.0,0.0,1
Ketchikan,rcp45,GFDL-CM3,tas_mean_C,1.51,-0.6,0.1,2.5,0.01,19.4,-1.9,0.14,0.41,-1
Ketchikan,rcp60,GFDL-CM3,pr_total_mm,1.87,51.6,0.2,198.2,0.01,801.0,82.9,0.0,0.0,1
Ketchikan,rcp60,GFDL-CM3,tas_mean_C,1.5,-0.4,0.1,2.5,0.0,17.7,-0.2,0.25,0.56,-1
Ketchikan,rcp85,GFDL-CM3,pr_total_mm,1.96,39.4,0.2,186.4,0.08,929.0,-45.1,0.01,0.02,1
Ketchikan,rcp85,GFDL-CM3,tas_mean_C,1.83,-1.0,0.1,2.3,0.33,17.1,0.4,0.01,0.01,-1
Ketchikan,rcp45,GISS-E2-R,pr_total_mm,1.87,35.9,0.2,209.8,0.01,828.0,55.9,0.03,0.09,1
Ketchikan,rcp45,GISS-E2-R,tas_mean_C,1.58,-0.3,0.1,2.6,0.08,19.8,-2.3,0.25,0.48,-1
Ketchikan,rcp60,GISS-E2-R,pr_total_mm,1.83,30.6,0.2,200.4,0.05,984.0,-100.1,0.06,0.07,1
Ketchikan,rcp60,GISS-E2-R,tas_mean_C,1.58,-0.3,0.1,2.7,0.08,18.4,-0.9,0.25,0.41,-1
Ketchikan,rcp85,GISS-E2-R,pr_total_mm,1.83,35.2,0.2,197.0,0.05,793.0,90.9,0.04,0.06,1
Ketchikan,rcp85,GISS-E2-R,tas_mean_C,1.46,-0.2,0.1,2.5,0.04,19.1,-1.6,0.25,0.19,-1
Ketchikan,rcp45,IPSL-CM5A-LR,pr_total_mm,1.89,28.5,0.2,194.9,0.01,753.0,130.9,0.21,0.28,1
Ketchikan,rcp45,IPSL-CM5A-LR,tas_mean_C,1.45,-0.2,0.1,2.3,0.05,18.0,-0.5,0.25,0.72,-1
Ketchikan,rcp60,IPSL-CM5A-LR,pr_total_mm,1.85,28.5,0.2,205.0,0.03,995.0,-111.1,0.15,0.15,1
Ketchikan,rcp60,IPSL-CM5A-LR,tas_mean_C,1.63,-0.7,0.1,2.2,0.13,18.0,-0.5,0.11,0.12,-1
Ketchikan,rcp85,IPSL-CM5A-LR,pr_total_mm,1.98,46.0,0.2,196.8,0.1,795.0,88.9,0.01,0.02,1
Ketchikan,rcp85,IPSL-CM5A-LR,tas_mean_C,1.57,-0.5,0.1,2.3,0.07,18.5,-1.0,0.25,0.41,-1
Ketchikan,rcp45,MRI-CGCM3,pr_total_mm,2.04,31.1,0.2,198.1,0.16,777.0,106.9,0.1,0.07,1
Ketchikan,rcp45,MRI-CGCM3,tas_mean_C,1.51,0.1,0.1,2.3,0.01,17.5,-0.0,0.25,0.87,1
Ketchikan,rcp60,MRI-CGCM3,pr_total_mm,1.84,39.0,0.2,201.6,0.04,892.0,-8.1,0.03,0.02,1
Ketchikan,rcp60,MRI-CGCM3,tas_mean_C,1.67,-0.2,0.1,2.0,0.17,16.9,0.6,0.25,0.56,-1
Ketchikan,rcp85,MRI-CGCM3,pr_total_mm,1.86,30.5,0.2,194.4,0.02,816.0,67.9,0.12,0.19,1
Ketchikan,rcp85,MRI-CGCM3,tas_mean_C,1.64,-0.3,0.1,1.9,0.14,16.8,0.7,0.25,0.64,-1
